year,birth_count,employed_population,gdp_per_capita,monthly_salary,unemployment_rate,industrial_production,inst_preschool,inst_general_school,inst_elementary,inst_junior,inst_high,inst_special_needs,inst_vocational,inst_secondary_special,inst_higher,teachers_preschool,teachers_general_school,teachers_special_needs,teachers_vocational,teachers_secondary_special,teachers_higher,grad_secondary_9,grad_secondary_11,grad_vocational,grad_secondary_special,grad_higher,inst_total,teachers_total,grad_total
2011,149612,2277693,54400,9304,0.08530151775686366,164361100000.0,741,2204,125,202,1857,20,109,126,54,3647,75502,660,3875,5590,12830,100900,56700,28100,15500,41800,5438,102104,243000
2012,154918,2286400,58000,10726,0.084,137229200000.00002,819,2201,118,222,1841,20,110,132,54,4053,75656,606,3811,6343,12633,94400,55900,25400,16400,41700,5517,103102,233800
2013,155520,2263000,65000,11341,0.083,169829400000.0,927,2207,115,202,1871,19,110,131,55,4492,74407,472,3293,7230,14059,92100,52800,27500,17900,41300,5637,103953,231600
2014,161813,2302704,71800,12285,0.08,171108900000.0,1062,2205,115,203,1868,19,101,129,53,5116,72928,510,3404,7547,13155,91400,50000,25500,23000,40800,5755,102660,230700
2015,163452,2352100,75500,13483,0.076,181026700000.0,1186,2218,115,200,1884,19,101,130,52,5693,75529,497,3448,6725,14233,90700,51800,25700,27100,41700,5905,106125,237000
2016,158160,2363700,81800,14847,0.07200000000000001,209812000000.0,1296,2236,122,196,1900,18,101,139,50,6414,79472,516,3584,7427,10812,89000,53400,24800,28700,52800,6058,108225,248700
2017,153620,2351200,89300,15670,0.069,237225300000.0,1390,2262,132,192,1920,18,99,145,51,7151,80773,519,3520,7496,12145,89900,52800,29800,27000,48900,6209,111604,248400
2018,171149,2382500,88400,16427,0.062,257348500000.0,1497,2265,130,195,1922,18,99,148,51,7694,77639,509,3079,7179,11665,91800,49800,33300,27600,33100,6325,107765,235600
2019,173484,2442700,99200,17232,0.055,283971707900.0,1617,2283,131,201,1931,20,99,144,55,8312,78552,518,3311,7181,12160,96700,49600,27900,28000,33600,6481,110034,235800
2020,158112,2445200,95100,18940,0.057999999999999996,325090100000.0,1648,2296,133,199,1946,18,99,138,57,8301,82055,541,3418,7299,12197,102400,50600,24900,28400,35000,6534,113811,241300
2021,150164,2537900,114300,19330,0.053,370533800000.0,1712,2333,135,210,1970,18,99,141,60,8785,82724,536,3477,7857,13006,102200,54100,23600,29100,35900,6678,116385,244900
2022,150225,2581100,146300,26540,0.049,435815600000.0,1834,2350,135,224,1973,18,100,142,61,9796,89962,569,3140,8447,12039,106200,58800,22400,27800,35100,6837,123953,250300
2023,145977,2656200,187900,31604,0.040999999999999995,495344000000.0,1912,2377,133,227,1999,18,100,135,58,10426,93531,577,3182,8684,12322,114400,57100,20200,27900,40200,6959,128722,259800
2024,140419,2756000,219200,36047,0.037000000000000005,599755200000.0,1997,2394,130,242,2004,18,98,134,57,11959,93696,568,3631,9550,12570,121500,55900,26000,32900,41200,7074,131974,277500
