year,"State budget expenditures on education, total",on pre-school education,on secondary education2 ,on higher education
2011,19420400000,1650700000,12574600000,2442400000
2012,22925900000,2153200000,14956600000,2757100000
2013,24089700000,2576500000,14852100000,3078100000
2014,25915400000,2948800000,15102600000,3412300000
2015,29995000000,3721600000,16997200000,3854200000
2016,36299300000,4499700000,20233200000,4395400000
2017,37387800000,5043100000,20983400000,4802700000
2018,37518600000,5377700000,21550700000,5111700000
2019,39719500000,5846800000,23306800000,5695800000
2020,42345600000,5182000000,27470300000,5745100000
2021,48320500000,6413000000,29055500000,7354700000
2022,73175600000,10372700000,42649300000,9635300000
2023,83896300000,12652900000,49350900000,11727000000
2024,83924400000,14040100000,51890200000,5623700000
