year, Pre-school institutions, General education schools,   Elementary (1 - 4 grades),   Junior (5 - 9 grades),   High (10 - 11 grades),   For children with learning disabilities, Vocational schools, Secondary special educational institutions, Higher educational institutions 
2011,741,2204,125,202,1857,20,109,126,54
2012,819,2201,118,222,1841,20,110,132,54
2013,927,2207,115,202,1871,19,110,131,55
2014,1062,2205,115,203,1868,19,101,129,53
2015,1186,2218,115,200,1884,19,101,130,52
2016,1296,2236,122,196,1900,18,101,139,50
2017,1390,2262,132,192,1920,18,99,145,51
2018,1497,2265,130,195,1922,18,99,148,51
2019,1617,2283,131,201,1931,20,99,144,55
2020,1648,2296,133,199,1946,18,99,138,57
2021,1712,2333,135,210,1970,18,99,141,60
2022,1834,2350,135,224,1973,18,100,142,61
2023,1912,2377,133,227,1999,18,100,135,58
2024,1997,2394,130,242,2004,18,98,134,57
