year,Secondary shcools (9 grades),High shcools (11 grades), Vocational schools, Secondary special educational institutions, Higher educational institutions 
2011,100900,56700,28100,15500,41800
2012,94400,55900,25400,16400,41700
2013,92100,52800,27500,17900,41300
2014,91400,50000,25500,23000,40800
2015,90700,51800,25700,27100,41700
2016,89000,53400,24800,28700,52800
2017,89900,52800,29800,27000,48900
2018,91800,49800,33300,27600,33100
2019,96700,49600,27900,28000,33600
2020,102400,50600,24900,28400,35000
2021,102200,54100,23600,29100,35900
2022,106200,58800,22400,27800,35100
2023,114400,57100,20200,27900,40200
2024,121500,55900,26000,32900,41200
