Year,Pre-school institutions,General education schools,For children with learning disabilities,Vocational schools,Secondary special educational institutions,Higher educational institutions 
2011,3647,75502,660,3875,5590,12830
2012,4053,75656,606,3811,6343,12633
2013,4492,74407,472,3293,7230,14059
2014,5116,72928,510,3404,7547,13155
2015,5693,75529,497,3448,6725,14233
2016,6414,79472,516,3584,7427,10812
2017,7151,80773,519,3520,7496,12145
2018,7694,77639,509,3079,7179,11665
2019,8312,78552,518,3311,7181,12160
2020,8301,82055,541,3418,7299,12197
2021,8785,82724,536,3477,7857,13006
2022,9796,89962,569,3140,8447,12039
2023,10426,93531,577,3182,8684,12322
2024,11959,93696,568,3631,9550,12570
